Player,Season,PER,WS,BPM,VORP,Label
Goran Dragić,2020,16.3,3.5,-0.1,0.8,0
Eric Paschall,2020,14.5,2.1,-2.7,-0.3,0
Eric Bledsoe,2020,17.6,5.4,1.8,1.6,0
Tony Snell,2020,9.7,2.6,-1.8,0.1,0
Monte Morris,2020,14.9,3.8,-0.2,0.7,0
Wesley Matthews,2020,8.1,3.2,-1.8,0.1,0
Bruce Brown,2020,11.9,2.1,-1.2,0.3,0
De'Aaron Fox,2020,20.6,4.0,1.8,1.6,0
Dario Šarić,2020,14.2,3.6,-0.4,0.7,0
Jaren Jackson Jr.,2020,16.3,3.5,0.4,1.0,0
Ben McLemore,2020,11.8,3.3,-0.5,0.6,0
Aaron Holiday,2020,11.6,2.1,-1.6,0.2,0
Austin Rivers,2020,10.4,2.4,-2.5,-0.2,0
Thaddeus Young,2020,13.3,1.9,-1.2,0.3,0
Dāvis Bertāns,2020,15.5,3.5,0.9,1.1,0
JJ Redick,2020,15.4,4.1,0.7,1.1,0
Bryn Forbes,2020,11.1,1.5,-2.7,-0.3,0
Seth Curry,2020,15.5,4.3,0.8,1.2,0
Delon Wright,2020,15.4,4.4,1.9,1.5,0
Daniel Theis,2020,17.9,6.5,2.4,1.7,0
Furkan Korkmaz,2020,12.0,2.8,-1.3,0.3,0
Cam Reddish,2020,9.0,-0.4,-4.2,-0.9,0
Josh Okogie,2020,11.5,2.2,-2.4,-0.2,0
Kyle Kuzma,2020,12.2,2.0,-2.6,-0.2,0
Donte DiVincenzo,2020,14.1,4.3,1.3,1.3,0
Tyler Herro,2020,12.5,1.6,-1.6,0.1,0
Jarrett Culver,2020,9.6,-0.1,-4.0,-0.8,0
Joel Embiid,2020,25.8,6.0,4.7,2.5,0
Julius Randle,2021,19.7,7.8,3.8,3.9,0
RJ Barrett,2021,13.4,4.1,-1.2,0.5,0
Nikola Jokić,2021,31.3,15.6,12.1,8.8,0
Buddy Hield,2021,12.8,2.2,-0.6,0.9,0
Damian Lillard,2021,25.6,10.4,6.3,5.0,0
Terry Rozier,2021,17.1,5.2,1.6,2.2,0
Russell Westbrook,2021,19.5,3.7,3.7,3.4,0
Andrew Wiggins,2021,15.0,3.9,-0.4,1.0,0
Mikal Bridges,2021,16.4,8.0,3.3,3.1,0
Nikola Vučević,2021,22.9,6.3,5.3,4.4,0
Nikola Vučević,2021,23.5,3.9,5.9,3.0,0
Anthony Edwards,2021,13.9,0.8,-2.1,-0.1,0
Jayson Tatum,2021,21.3,6.5,3.9,3.4,0
Devin Booker,2021,19.2,4.9,0.3,1.3,0
Khris Middleton,2021,18.2,6.4,1.3,1.9,0
Duncan Robinson,2021,11.0,3.7,-1.0,0.6,0
Luka Dončić,2021,25.3,7.7,6.8,5.1,0
Robert Covington,2021,11.2,3.7,0.2,1.2,0
Royce O'Neale,2021,9.9,5.6,1.0,1.7,0
Domantas Sabonis,2021,20.6,6.9,3.8,3.3,0
Bojan Bogdanović,2021,14.0,5.2,-0.4,0.9,0
Norman Powell,2021,16.2,4.7,0.4,1.3,0
Chris Paul,2021,21.4,9.2,4.6,3.6,0
Rudy Gobert,2021,23.5,11.3,4.9,3.8,0
Justin Holiday,2021,10.4,3.1,-1.0,0.6,0
Isaac Okoro,2021,7.9,0.9,-5.1,-1.7,0
Coby White,2021,12.0,2.4,-2.4,-0.2,0
Stephen Curry,2021,26.3,9.0,8.7,5.8,0
Bradley Beal,2021,22.7,5.9,3.4,2.9,0
Bam Adebayo,2021,22.7,8.8,4.9,3.7,0
Joe Harris,2021,14.1,5.2,0.4,1.3,0
Dejounte Murray,2021,16.5,3.3,0.8,1.5,0
Kevin Huerter,2021,12.2,3.6,-0.3,1.0,0
Trae Young,2021,23.0,7.2,3.7,3.0,0
Deandre Ayton,2021,20.3,8.4,1.2,1.7,0
Collin Sexton,2021,18.0,3.5,-0.2,1.0,0
Eric Bledsoe,2021,11.5,2.3,-2.0,0.0,0
Harrison Barnes,2021,15.4,4.5,0.2,1.1,0
Brandon Ingram,2021,19.2,5.3,2.2,2.2,0
DeMar DeRozan,2021,22.0,7.4,3.1,2.6,0
Ja Morant,2021,16.7,3.2,-0.4,0.8,0
Jae'Sean Tate,2021,13.8,3.8,-1.4,0.3,0
De'Aaron Fox,2021,20.7,4.2,1.8,2.0,0
Zach LaVine,2021,21.5,5.9,4.0,3.1,0
Zion Williamson,2021,27.1,8.7,5.8,4.0,0
Tobias Harris,2021,20.0,7.1,3.7,2.9,0
Giannis Antetokounmpo,2021,29.2,10.2,9.0,5.6,0
Pascal Siakam,2021,17.7,4.2,0.8,1.4,0
Jaylen Brown,2021,19.9,4.8,2.5,2.3,0
Dillon Brooks,2021,12.1,1.4,-3.7,-0.9,0
Kelly Olynyk,2021,16.4,5.1,1.2,1.6,0
Tim Hardaway Jr.,2021,15.7,4.3,0.4,1.2,0
Patrick Williams,2021,10.5,2.5,-2.4,-0.2,0
Draymond Green,2021,13.3,4.6,1.7,1.9,0
Keldon Johnson,2021,13.8,3.3,-1.6,0.2,0
Dennis Schröder,2021,13.8,3.8,-1.1,0.4,0
Kyle Kuzma,2021,12.7,3.3,-0.4,0.8,0
P.J. Washington,2021,13.4,2.7,-0.9,0.6,0
Reggie Bullock,2021,11.1,4.6,-0.1,0.9,0
Danny Green,2021,12.1,4.6,1.9,1.9,0
Miles Bridges,2021,14.7,4.2,0.2,1.1,0
Malcolm Brogdon,2021,17.9,4.2,2.1,2.0,0
Dorian Finney-Smith,2021,12.0,4.4,0.1,1.0,0
Michael Porter Jr.,2021,20.6,6.9,3.1,2.5,0
Saddiq Bey,2021,12.6,3.3,-0.5,0.7,0
Jrue Holiday,2021,20.0,6.6,3.4,2.6,0
Brook Lopez,2021,15.4,5.3,0.0,0.9,0
Kentavious Caldwell-Pope,2021,10.7,4.2,-0.5,0.7,0
Fred VanVleet,2021,16.8,4.3,2.5,2.2,0
Clint Capela,2021,24.3,8.2,2.7,2.2,0
Kyle Anderson,2021,17.2,5.6,3.3,2.5,0
Kyrie Irving,2021,24.4,7.4,5.5,3.6,0
Ben Simmons,2021,18.3,6.0,2.9,2.3,0
Joe Ingles,2021,15.9,7.0,3.5,2.6,0
Jarrett Allen,2021,20.1,6.4,1.1,1.4,0
Jarrett Allen,2021,19.8,5.0,0.8,1.1,0
Dwayne Bacon,2021,9.9,0.5,-5.1,-1.5,0
John Collins,2021,20.6,6.7,2.3,2.0,0
Jakob Poeltl,2021,17.5,5.7,0.8,1.3,0
Jeff Green,2021,13.0,4.1,-0.8,0.5,0
Nicolas Batum,2021,12.9,5.0,2.1,1.9,0
Jerami Grant,2021,16.9,3.2,1.1,1.4,0
Paul George,2021,20.5,5.3,4.2,2.9,0
Jordan Clarkson,2021,17.1,4.2,1.4,1.6,0
Donte DiVincenzo,2021,13.0,3.6,0.2,1.0,0
Gary Trent Jr.,2021,12.1,1.7,-2.3,-0.1,0
Rui Hachimura,2021,11.4,2.1,-3.1,-0.5,0
T.J. McConnell,2021,16.9,4.8,1.4,1.5,0
Josh Richardson,2021,11.9,2.4,-1.7,0.1,0
Darius Garland,2021,14.2,1.2,-2.1,-0.1,0
Richaun Holmes,2021,20.2,6.1,0.6,1.2,0
Théo Maledon,2021,8.2,-0.8,-5.0,-1.3,0
Kawhi Leonard,2021,26.0,8.8,7.3,4.2,0
Ricky Rubio,2021,13.5,3.1,-1.9,0.0,0
Donovan Mitchell,2021,21.3,6.2,4.3,2.8,0
Enes Freedom,2021,22.4,7.5,0.6,1.2,0
Jonas Valančiūnas,2021,24.4,7.8,3.0,2.2,0
Delon Wright,2021,16.3,4.3,2.2,1.8,0
Lonzo Ball,2021,15.2,3.2,1.7,1.6,0
Tyrese Haliburton,2021,16.2,3.5,1.4,1.5,0
Jimmy Butler,2021,26.5,9.3,7.7,4.3,0
Will Barton,2021,11.8,2.2,-1.9,0.1,0
Darius Bazley,2021,9.7,-0.9,-4.4,-1.0,0
Jamal Murray,2021,18.3,4.6,2.0,1.7,0
Jalen Brunson,2021,17.1,5.1,0.9,1.2,0
Carmelo Anthony,2021,14.6,2.6,-1.1,0.4,0
Karl-Anthony Towns,2021,23.1,5.4,4.5,2.8,0
Kelly Oubre Jr.,2021,13.3,2.2,-1.9,0.0,0
Patty Mills,2021,11.8,2.2,-1.2,0.4,0
Devonte' Graham,2021,14.6,3.4,0.7,1.1,0
Thaddeus Young,2021,20.3,5.1,3.3,2.2,0
Kendrick Nunn,2021,14.2,2.9,-0.5,0.6,0
Jae Crowder,2021,11.8,3.3,1.1,1.3,0
Seth Curry,2021,12.9,4.0,-0.3,0.7,0
Tyler Herro,2021,13.3,1.7,-1.3,0.3,0
Doug McDermott,2021,15.6,3.8,-0.6,0.6,0
Ivica Zubac,2021,19.1,6.9,1.0,1.2,0
James Harden,2021,24.5,7.0,7.2,3.7,0
Steven Adams,2021,15.1,4.0,-0.3,0.7,0
Kyle Lowry,2021,16.5,4.1,1.6,1.5,0
Daniel Theis,2021,15.0,4.3,0.0,0.8,0
CJ McCollum,2021,20.8,4.7,3.9,2.4,0
Joel Embiid,2021,30.3,8.8,7.5,3.8,0
Marcus Smart,2021,13.8,3.3,-0.3,0.7,0
Montrezl Harrell,2021,22.7,7.3,3.0,2.0,0
Pat Connaughton,2021,11.3,3.5,0.0,0.8,0
Josh Jackson,2021,12.0,0.1,-3.0,-0.4,0
Nerlens Noel,2021,14.8,5.2,1.4,1.3,0
Reggie Jackson,2021,14.2,3.7,0.4,0.9,0
Luguentz Dort,2021,10.1,0.3,-3.5,-0.6,0
Khem Birch,2021,15.1,3.8,-1.0,0.4,0
Garrett Temple,2021,8.2,1.6,-3.0,-0.4,0
Lonnie Walker IV,2021,9.8,0.4,-3.7,-0.7,0
Desmond Bane,2021,12.2,2.9,-0.8,0.5,0
Solomon Hill,2021,6.7,1.3,-2.5,-0.2,0
Jaden McDaniels,2021,8.9,1.4,-3.5,-0.6,0
Cedi Osman,2021,10.3,0.5,-3.2,-0.5,0
LeBron James,2021,24.2,5.6,8.1,3.8,0
Marcus Morris,2021,14.5,3.6,0.0,0.8,0
Mikal Bridges,2022,14.4,8.9,1.6,2.6,0
Miles Bridges,2022,17.9,7.2,1.5,2.5,0
DeMar DeRozan,2022,23.1,8.8,2.5,3.1,0
Jayson Tatum,2022,21.8,9.6,5.0,4.8,0
Saddiq Bey,2022,14.0,4.0,-0.3,1.2,0
Tyrese Haliburton,2022,18.2,7.0,2.6,3.1,0
Tyrese Haliburton,2022,17.0,4.0,2.6,2.0,0
Russell Westbrook,2022,15.0,1.7,-1.6,0.2,0
Trae Young,2022,25.4,10.0,5.2,4.8,0
Tyrese Maxey,2022,16.2,7.3,0.6,1.8,0
Dorian Finney-Smith,2022,12.5,6.6,0.8,1.9,0
Scottie Barnes,2022,16.3,6.6,0.9,1.9,0
Harrison Barnes,2022,15.7,6.0,0.2,1.4,0
Pascal Siakam,2022,20.3,8.1,3.5,3.6,0
Julius Randle,2022,15.7,3.1,0.5,1.6,0
Tobias Harris,2022,15.9,5.6,0.0,1.3,0
Jalen Brunson,2022,17.1,7.5,0.9,1.9,0
Buddy Hield,2022,12.9,1.9,-1.2,0.5,0
Buddy Hield,2022,11.9,0.7,-1.3,0.3,0
Nikola Jokić,2022,32.8,15.2,13.7,9.8,0
Karl-Anthony Towns,2022,24.1,10.3,5.0,4.4,0
Anthony Edwards,2022,16.5,4.3,1.2,2.0,0
Fred VanVleet,2022,17.3,6.7,3.6,3.5,0
Terry Rozier,2022,17.6,5.9,1.7,2.3,0
Gary Trent Jr.,2022,14.7,5.6,0.2,1.3,0
Darius Garland,2022,19.0,6.3,2.6,2.8,0
Franz Wagner,2022,14.7,4.0,-0.7,0.8,0
LaMelo Ball,2022,19.7,5.8,3.4,3.3,0
James Harden,2022,20.9,7.6,4.0,3.7,0
James Harden,2022,20.4,4.4,4.1,2.5,0
Nikola Vučević,2022,18.2,4.5,0.9,1.8,0
RJ Barrett,2022,13.7,2.3,-1.6,0.2,0
Royce O'Neale,2022,10.3,5.5,0.8,1.7,0
Keldon Johnson,2022,15.2,4.9,-0.5,0.9,0
Aaron Gordon,2022,15.3,5.2,-0.6,0.9,0
Dejounte Murray,2022,22.3,7.3,5.4,4.4,0
Evan Fournier,2022,12.3,3.7,-0.7,0.7,0
Patty Mills,2022,10.4,2.8,-1.7,0.2,0
Devin Booker,2022,21.3,7.6,4.1,3.6,0
Reggie Jackson,2022,12.1,0.4,-3.0,-0.6,0
Herbert Jones,2022,12.3,4.6,-0.5,0.9,0
Evan Mobley,2022,16.1,5.2,0.6,1.5,0
Kentavious Caldwell-Pope,2022,12.6,2.8,-1.5,0.3,0
Andrew Wiggins,2022,15.0,5.1,0.4,1.4,0
Zach LaVine,2022,20.0,5.8,2.4,2.6,0
Alec Burks,2022,13.7,6.1,0.8,1.7,0
Terance Mann,2022,13.4,5.5,-0.6,0.8,0
Luka Dončić,2022,25.1,7.6,8.2,5.9,0
Joel Embiid,2022,31.2,12.0,9.2,6.5,0
Marcus Smart,2022,13.6,5.6,0.5,1.5,0
Jordan Poole,2022,16.1,6.0,1.0,1.7,0
Will Barton,2022,13.4,3.2,-0.5,0.9,0
Desmond Bane,2022,17.6,7.2,2.7,2.7,0
Donovan Mitchell,2022,21.6,7.2,4.3,3.6,0
Jonas Valančiūnas,2022,21.2,7.3,1.9,2.2,0
Monte Morris,2022,14.7,5.4,0.0,1.1,0
Jaylen Brown,2022,18.9,5.8,2.1,2.2,0
Stephen Curry,2022,21.4,8.0,5.8,4.4,0
Jrue Holiday,2022,19.8,6.9,3.2,2.9,0
Giannis Antetokounmpo,2022,32.1,12.9,11.2,7.4,0
Kyle Kuzma,2022,15.2,2.0,-0.2,1.0,0
Derrick White,2022,14.8,5.1,0.9,1.6,0
Kevin Huerter,2022,11.9,2.8,-1.2,0.4,0
Devonte' Graham,2022,12.1,2.8,-1.0,0.5,0
Tyler Herro,2022,16.2,3.8,0.7,1.5,0
CJ McCollum,2022,18.3,3.6,1.9,2.1,0
Jordan Clarkson,2022,14.9,3.5,-0.6,0.7,0
Khris Middleton,2022,18.1,5.3,1.6,1.9,0
Malik Monk,2022,14.4,3.6,-0.5,0.8,0
Chris Paul,2022,20.8,9.4,5.4,4.0,0
Jalen Green,2022,12.5,0.7,-2.9,-0.5,0
Domantas Sabonis,2022,21.9,7.1,4.1,3.2,0
Domantas Sabonis,2022,22.2,5.7,4.6,2.7,0
Seth Curry,2022,13.7,4.2,-0.6,0.8,0
Seth Curry,2022,13.3,2.9,-1.0,0.4,0
Kyle Lowry,2022,15.0,6.4,2.0,2.1,0
Bojan Bogdanović,2022,15.7,5.2,0.0,1.1,0
Jaren Jackson Jr.,2022,17.0,5.4,-0.1,1.0,0
Rudy Gobert,2022,24.7,11.7,4.6,3.6,0
Ayo Dosunmu,2022,11.2,3.0,-2.0,0.0,0
Christian Wood,2022,19.1,4.9,1.6,1.9,0
Cade Cunningham,2022,13.1,-0.5,-1.6,0.2,0
LeBron James,2022,26.2,7.5,7.7,5.1,0
De'Aaron Fox,2022,17.4,2.5,-0.6,0.7,0
D'Angelo Russell,2022,16.3,4.4,0.8,1.4,0
Davion Mitchell,2022,10.8,0.1,-3.8,-0.9,0
Cole Anthony,2022,13.5,1.6,-1.2,0.4,0
Mike Conley,2022,17.2,6.7,3.1,2.7,0
Justin Holiday,2022,9.5,1.4,-2.2,-0.1,0
Jae'Sean Tate,2022,14.3,3.0,-1.8,0.1,0
Kevin Durant,2022,25.6,8.4,7.2,4.8,0
Duncan Robinson,2022,10.6,3.9,-0.6,0.7,0
Clint Capela,2022,21.4,8.3,2.0,2.1,0
Bobby Portis,2022,17.7,5.5,0.2,1.1,0
Al Horford,2022,16.7,7.6,4.3,3.2,0
Steven Adams,2022,17.6,6.8,2.0,2.0,0
Kelly Oubre Jr.,2022,14.9,3.3,-1.4,0.3,0
Deni Avdija,2022,11.6,2.4,-1.7,0.1,0
P.J. Tucker,2022,11.3,5.0,0.6,1.3,0
Isaac Okoro,2022,10.4,4.2,-1.7,0.1,0
Spencer Dinwiddie,2022,15.1,4.1,0.3,1.1,0
Malik Beasley,2022,11.9,2.9,-0.7,0.7,0
Jakob Poeltl,2022,20.8,6.9,1.6,1.7,0
Shai Gilgeous-Alexander,2022,20.9,4.6,3.4,2.7,0
Robert Covington,2022,12.4,3.2,0.2,1.1,0
Devin Vassell,2022,13.3,3.3,-0.5,0.7,0
Jimmy Butler,2022,23.6,9.2,6.3,4.0,0
Darius Bazley,2022,12.6,1.8,-1.8,0.1,0
Luke Kennard,2022,13.3,4.5,0.5,1.2,0
Kevin Porter Jr.,2022,13.5,0.8,-1.6,0.2,0
Reggie Bullock,2022,9.2,3.2,-1.4,0.3,0
Ja Morant,2022,24.4,6.7,6.1,3.9,0
Jae Crowder,2022,11.3,4.3,1.1,1.5,0
Jarred Vanderbilt,2022,15.3,6.0,0.2,1.1,0
Lauri Markkanen,2022,14.7,5.0,0.4,1.1,0
Grant Williams,2022,11.2,5.1,-0.4,0.8,0
Brandon Ingram,2022,18.7,3.9,2.0,1.9,0
Cody Martin,2022,12.7,3.9,-0.5,0.7,0
Ivica Zubac,2022,19.2,7.2,0.7,1.3,0
Wendell Carter Jr.,2022,18.4,5.0,1.6,1.7,0
Jeff Green,2022,12.5,3.9,-2.5,-0.2,0
Mitchell Robinson,2022,20.7,8.5,2.2,2.0,0
Bogdan Bogdanović,2022,15.4,3.7,1.3,1.5,0
Dennis Schröder,2022,13.0,2.9,-1.9,0.0,0
Bam Adebayo,2022,21.8,7.2,3.8,2.7,0
Mo Bamba,2022,16.5,4.5,0.7,1.2,0
Isaiah Stewart,2022,14.0,3.4,-3.3,-0.6,0
Jarrett Allen,2022,23.0,8.5,3.9,2.7,0
Grayson Allen,2022,12.7,4.2,0.4,1.1,0
Robert Williams,2022,22.1,9.9,5.5,3.4,0
Jaden McDaniels,2022,10.3,2.4,-2.9,-0.4,0
Immanuel Quickley,2022,14.6,4.2,0.2,1.0,0
Corey Kispert,2022,10.9,2.3,-2.3,-0.1,0
Dwight Powell,2022,18.1,8.2,0.9,1.3,0
Mason Plumlee,2022,14.7,4.7,0.0,0.9,0
Carmelo Anthony,2022,14.8,3.6,-0.5,0.7,0
Josh Hart,2022,16.1,4.4,0.9,1.3,0
Caris LeVert,2022,15.1,2.2,-1.2,0.4,0
Bruce Brown,2022,15.0,4.8,0.7,1.2,0
P.J. Washington,2022,13.6,3.4,-0.1,0.9,0
Chuma Okeke,2022,12.0,2.2,-0.1,0.8,0
Georges Niang,2022,10.7,2.8,-1.9,0.0,0
Kevon Looney,2022,15.7,6.8,0.9,1.3,0
Cameron Johnson,2022,15.2,5.6,2.7,2.1,0
Gary Harris,2022,10.9,2.2,-2.4,-0.2,0
OG Anunoby,2022,14.8,3.7,0.5,1.1,0
Precious Achiuwa,2022,12.7,2.5,-2.6,-0.2,0
Deandre Ayton,2022,21.9,7.3,2.8,2.1,0
Garrison Mathews,2022,11.0,2.8,-2.3,-0.1,0
Josh Giddey,2022,13.3,0.4,-0.9,0.5,0
Pat Connaughton,2022,13.4,4.4,1.2,1.4,0
Chris Boucher,2022,17.9,6.0,0.1,0.9,0
Matisse Thybulle,2022,11.2,3.7,1.1,1.3,0
Anfernee Simons,2022,15.3,1.9,-0.7,0.5,0
Coby White,2022,12.6,2.4,-2.1,0.0,0
Danilo Gallinari,2022,14.3,3.6,-0.2,0.8,0
Eric Gordon,2022,12.1,1.4,-2.3,-0.1,0
Kevin Love,2022,19.6,5.7,4.5,2.7,0
Luguentz Dort,2022,12.3,1.4,-2.3,-0.1,0
John Collins,2022,18.7,5.1,1.5,1.5,0
De'Anthony Melton,2022,15.2,3.7,1.9,1.6,0
KJ Martin,2022,14.3,2.9,-1.2,0.4,0
Killian Hayes,2022,9.3,0.5,-3.5,-0.6,0
Montrezl Harrell,2022,23.2,7.3,3.9,2.4,0
Lonnie Walker IV,2022,12.3,1.2,-2.5,-0.2,0
Cory Joseph,2022,11.4,2.5,-2.1,0.0,0
Josh Richardson,2022,12.8,3.5,0.1,0.9,0
Torrey Craig,2022,11.0,2.3,-1.8,0.1,0
Gabe Vincent,2022,10.6,2.5,-1.4,0.2,0
Max Strus,2022,12.7,3.6,0.9,1.2,0
Jusuf Nurkić,2022,20.0,3.6,0.3,0.9,0
De'Andre Hunter,2022,10.6,1.1,-3.9,-0.8,0
Amir Coffey,2022,13.0,3.8,-0.3,0.7,0
Oshae Brissett,2022,12.9,2.2,-2.2,-0.1,0
Marcus Morris,2022,13.7,2.4,-1.4,0.3,0
Gordon Hayward,2022,15.1,2.8,-0.7,0.5,0
Tyus Jones,2022,16.5,5.1,1.7,1.4,0
Chris Duarte,2022,12.3,0.9,-2.3,-0.1,0
Trey Lyles,2022,16.4,3.5,-0.3,0.7,0
Javonte Green,2022,14.0,4.4,0.1,0.8,0
Talen Horton-Tucker,2022,11.0,1.1,-3.3,-0.5,0
Jerami Grant,2022,16.1,2.3,1.2,1.2,0
Mikal Bridges,2023,16.8,7.5,1.7,2.8,0
Mikal Bridges,2023,14.8,4.9,1.0,1.6,0
Anthony Edwards,2023,17.4,3.8,1.0,2.1,0
Zach LaVine,2023,19.0,7.1,1.9,2.7,0
Nikola Vučević,2023,19.1,8.3,2.7,3.2,0
Julius Randle,2023,20.3,8.1,3.7,3.9,0
Domantas Sabonis,2023,23.5,12.6,5.8,5.4,0
Jayson Tatum,2023,23.7,10.5,5.5,5.1,0
Spencer Dinwiddie,2023,16.0,6.3,0.7,1.8,0
Spencer Dinwiddie,2023,16.1,4.3,0.9,1.3,0
Evan Mobley,2023,17.9,8.5,1.7,2.5,0
Dejounte Murray,2023,17.0,4.7,1.0,2.1,0
DeMar DeRozan,2023,20.6,8.5,2.0,2.6,0
Scottie Barnes,2023,15.5,5.0,0.4,1.6,0
Harrison Barnes,2023,14.1,6.5,-1.0,0.7,0
Pascal Siakam,2023,20.3,7.8,3.1,3.4,0
CJ McCollum,2023,15.6,4.3,0.8,1.9,0
Franz Wagner,2023,15.9,5.4,-0.1,1.3,0
Jalen Green,2023,14.5,1.8,-2.1,0.0,0
Bam Adebayo,2023,20.1,7.4,1.5,2.3,0
Trae Young,2023,22.0,6.7,3.3,3.4,0
Fred VanVleet,2023,17.0,6.5,2.5,2.9,0
Buddy Hield,2023,15.4,4.4,1.9,2.4,0
RJ Barrett,2023,12.9,2.2,-3.1,-0.7,0
Jordan Poole,2023,14.6,3.2,-1.9,0.1,0
Josh Hart,2023,14.1,6.0,0.9,1.8,0
Josh Hart,2023,12.7,3.2,-0.2,0.8,0
Jabari Smith Jr.,2023,11.2,1.9,-3.7,-1.1,0
Trey Murphy III,2023,15.2,7.6,1.8,2.3,0
Darius Garland,2023,18.8,7.6,2.4,2.7,0
Tobias Harris,2023,14.8,5.9,0.7,1.7,0
De'Aaron Fox,2023,21.8,7.4,2.5,2.7,0
Donovan Mitchell,2023,22.9,8.9,6.3,5.0,0
Paolo Banchero,2023,14.9,2.4,-1.5,0.3,0
Jaden McDaniels,2023,12.0,4.4,-1.2,0.5,0
Shai Gilgeous-Alexander,2023,27.2,11.4,7.3,5.6,0
Royce O'Neale,2023,9.2,2.9,-1.1,0.5,0
Jaylen Brown,2023,19.1,5.0,1.3,2.0,0
Luka Dončić,2023,28.7,10.2,8.9,6.6,0
OG Anunoby,2023,14.6,4.7,0.4,1.5,0
Keegan Murray,2023,12.3,4.3,-0.6,0.8,0
Kentavious Caldwell-Pope,2023,11.5,4.5,-1.0,0.6,0
P.J. Washington,2023,12.9,2.6,-1.3,0.4,0
Jalen Brunson,2023,21.2,8.7,3.9,3.5,0
Brook Lopez,2023,18.4,8.0,2.1,2.5,0
Josh Giddey,2023,17.1,4.0,1.2,1.9,0
Reggie Bullock,2023,7.7,2.8,-2.6,-0.4,0
Immanuel Quickley,2023,16.3,6.7,1.7,2.1,0
Tyler Herro,2023,15.3,3.5,0.6,1.6,0
Patrick Williams,2023,11.2,3.5,-1.3,0.4,0
Nikola Jokić,2023,31.5,14.9,13.0,8.8,0
Derrick White,2023,15.4,7.4,2.4,2.6,0
Jaden Ivey,2023,12.1,0.0,-3.3,-0.7,0
D'Angelo Russell,2023,16.3,5.1,1.5,2.0,0
D'Angelo Russell,2023,16.1,3.8,1.2,1.4,0
Draymond Green,2023,12.2,4.7,0.8,1.6,0
KJ Martin,2023,15.4,4.9,-0.7,0.7,0
Joel Embiid,2023,31.4,12.3,9.2,6.4,1
Bruce Brown,2023,13.3,4.3,-0.5,0.9,0
Klay Thompson,2023,14.7,3.1,-0.3,1.0,0
Jalen Williams,2023,15.6,5.6,0.3,1.3,0
Lauri Markkanen,2023,22.1,8.2,3.8,3.3,0
Max Strus,2023,10.8,3.4,-1.7,0.2,0
Luguentz Dort,2023,11.3,2.9,-3.0,-0.6,0
Nic Claxton,2023,20.8,9.2,3.1,2.9,0
Jerami Grant,2023,16.0,4.1,-0.2,1.0,0
Kyrie Irving,2023,22.4,7.4,4.1,3.5,0
Kyle Kuzma,2023,14.3,0.9,-1.7,0.2,0
Caris LeVert,2023,12.4,4.4,-0.2,1.0,0
Bennedict Mathurin,2023,13.1,1.8,-3.7,-1.0,0
Terry Rozier,2023,14.7,1.7,-0.6,0.8,0
Jarrett Allen,2023,19.9,9.5,2.4,2.4,0
Dillon Brooks,2023,9.4,1.6,-3.9,-1.1,0
Kevin Huerter,2023,15.2,4.9,1.0,1.7,0
Jrue Holiday,2023,19.2,6.7,3.1,2.8,0
Alperen Şengün,2023,19.7,5.2,1.4,1.9,0
Anfernee Simons,2023,14.8,2.5,-1.1,0.5,0
Ivica Zubac,2023,16.7,6.7,-0.9,0.6,0
Killian Hayes,2023,10.2,-0.5,-3.8,-1.0,0
Tim Hardaway Jr.,2023,12.1,2.3,-1.8,0.1,0
De'Anthony Melton,2023,12.7,4.2,0.9,1.6,0
Rudy Gobert,2023,18.9,7.8,0.7,1.4,0
Jimmy Butler,2023,27.6,12.3,8.7,5.8,0
James Harden,2023,21.6,8.4,5.4,4.0,0
Jamal Murray,2023,18.0,5.1,1.3,1.8,0
John Collins,2023,13.6,4.2,-1.3,0.4,0
Saddiq Bey,2023,14.6,3.9,-0.3,0.9,0
Saddiq Bey,2023,14.3,2.3,-0.7,0.5,0
De'Andre Hunter,2023,11.5,2.5,-3.3,-0.7,0
Russell Westbrook,2023,16.1,1.9,0.2,1.2,0
Quentin Grimes,2023,11.7,4.8,-0.1,1.0,0
Kristaps Porziņģis,2023,23.1,7.7,4.3,3.4,0
Gary Trent Jr.,2023,15.0,4.5,0.2,1.2,0
Damian Lillard,2023,26.7,9.0,7.1,4.9,0
Ayo Dosunmu,2023,10.2,2.9,-2.5,-0.2,0
Corey Kispert,2023,11.5,3.8,-1.5,0.2,0
Malik Beasley,2023,10.9,1.4,-2.0,0.0,0
Caleb Martin,2023,11.4,3.7,-1.2,0.4,0
Andrew Nembhard,2023,10.0,1.2,-3.2,-0.6,0
Keldon Johnson,2023,15.3,1.3,-1.8,0.1,0
Aaron Gordon,2023,19.5,6.8,2.1,2.1,0
Mason Plumlee,2023,19.6,7.9,2.2,2.2,0
Mason Plumlee,2023,20.0,6.1,2.4,1.8,0
Grant Williams,2023,10.3,4.4,-1.1,0.5,0
Deandre Ayton,2023,19.9,6.2,0.9,1.5,0
Mike Conley,2023,14.7,5.5,0.9,1.5,0
Giannis Antetokounmpo,2023,29.0,8.6,8.5,5.4,0
Kevin Porter Jr.,2023,16.2,2.9,0.6,1.3,0
Deni Avdija,2023,11.2,2.3,-2.3,-0.1,0
Tyrese Maxey,2023,17.0,5.4,0.6,1.3,0
Dorian Finney-Smith,2023,9.2,2.1,-2.0,0.0,0
Jordan Clarkson,2023,14.7,1.7,-1.4,0.3,0
